"country";"code";"continent";"fertility";"gdp_capita";"life_expectancy";"meat_cons";"median_age";"population_growth";"sex_ratio";"suicide_rate"
"Thailand";"THA";"Asia";1.5;21361;76.9;27.9;37.7;0.31;0.96;12.9
"East Timor";"TLS";"Asia";4.0;5321;69.3;41.3;18.9;2.88;1.0;6.4
"Togo";"TGO";"Africa";4.3;1913;60.8;8.5;19.8;2.6;0.98;16.6
"Trinidad and Tobago";"TTO";"North America";1.7;33713;73.4;57.8;36.0;0.33;1.03;12.9
"Tunisia";"TUN";"Africa";2.2;13093;76.5;25.5;31.6;0.97;0.99;3.2
"Turkey";"TUR";"Asia";2.1;29327;78.3;19.3;30.9;1.28;1.01;7.2
"Turkmenistan";"TKM";"Asia";2.8;21855;68.1;41.7;27.9;1.29;0.98;7.2
"Uganda";"UGA";"Africa";5.0;2753;63.0;11.7;15.8;3.35;0.94;20.0
"Ukraine";"UKR";"Europe";1.3;10130;72.0;32.3;40.6;-0.25;0.86;18.5
"United Arab Emirates";"ARE";"Asia";1.4;70441;77.8;74.4;30.3;3.1;2.56;2.7
"United Kingdom";"GBR";"Europe";1.7;48169;81.2;79.6;40.5;0.75;0.99;7.6
"United States";"USA";"North America";1.7;67426;78.9;124.8;38.1;0.74;0.97;13.7
"Uruguay";"URY";"South America";2.0;24516;77.8;98.6;35.0;0.35;0.94;16.5
"Uzbekistan";"UZB";"Asia";2.4;9595;71.5;20.7;28.6;1.47;0.99;7.4
"Vanuatu";"VUT";"Oceania";3.8;3039;70.3;32.6;22.0;2.24;0.99;5.4
"Venezuela";"VEN";"South America";2.3;16055;72.1;56.6;28.3;1.53;0.99;3.8
"Vietnam";"VNM";"Asia";2.0;8677;75.3;28.6;30.5;1.06;1.01;7.0
"Yemen";"YEM";"Asia";3.8;2312;66.1;14.7;19.5;2.33;1.02;9.8
"Zambia";"ZMB";"Africa";4.6;4174;63.5;11.9;16.8;3.19;1.0;11.3
"Zimbabwe";"ZWE";"Africa";3.6;2778;61.2;15.2;20.0;2.7;0.96;19.1
